sampled_medoids	sampled_rap	sampled_nonrap	rap_fraction	multi_families	pure_rap_families	mixed_families	pure_nonrap_families	medoids_in_multi	within_family_pairs	rap_rap_pairs	rap_nonrap_pairs	nonrap_nonrap_pairs	expected_rap_rap_pairs_random	rap_rap_enrichment	rap_neighbor_homophily	homophily_lift_over_pool	target_rap_size	replicate	seed	alpha	threshold
655	100	555	0.15267175572519084	134	12	2	120	311	234	12	2	220	5.407941732614329	2.2189588189588187	0.9230769230769231	6.046153846153846	100	56	20260905	0.1	0.8
655	100	555	0.15267175572519084	133	10	6	117	312	239	12	9	218	5.523496043140276	2.172537086344618	0.7272727272727273	4.763636363636364	100	57	20260905	0.1	0.8
655	100	555	0.15267175572519084	137	13	7	117	319	242	13	12	217	5.592828629455845	2.3244052091159526	0.6842105263157895	4.481578947368421	100	58	20260905	0.1	0.8
655	100	555	0.15267175572519084	136	14	6	116	319	245	15	10	220	5.6621612157714125	2.649165120593692	0.75	4.9125	100	59	20260905	0.1	0.8
655	100	555	0.15267175572519084	138	12	8	118	320	239	13	10	216	5.523496043140276	2.3535818435400024	0.7222222222222222	4.730555555555555	100	60	20260905	0.1	0.8
655	100	555	0.15267175572519084	131	8	7	116	311	242	15	16	211	5.592828629455845	2.682006010518407	0.6521739130434783	4.271739130434782	100	61	20260905	0.1	0.8
655	100	555	0.15267175572519084	134	12	8	114	316	243	13	12	218	5.615939491561034	2.3148397555804965	0.6842105263157895	4.481578947368421	100	62	20260905	0.1	0.8
655	100	555	0.15267175572519084	133	12	5	116	313	245	15	9	221	5.6621612157714125	2.649165120593692	0.7692307692307693	5.038461538461538	100	63	20260905	0.1	0.8
655	100	555	0.15267175572519084	129	7	4	118	304	236	9	6	221	5.454163456824708	1.6501155624036978	0.75	4.9125	100	64	20260905	0.1	0.8
655	100	555	0.15267175572519084	134	12	8	114	317	246	13	17	216	5.685272077876602	2.286610002463661	0.6046511627906976	3.9604651162790696	100	65	20260905	0.1	0.8
655	100	555	0.15267175572519084	138	18	5	115	323	249	18	8	223	5.75460466419217	3.1279299014238773	0.8181818181818182	5.359090909090909	100	66	20260905	0.1	0.8
655	100	555	0.15267175572519084	133	9	6	118	309	232	9	6	217	5.3617200084039505	1.678565830721003	0.75	4.9125	100	67	20260905	0.1	0.8
655	100	555	0.15267175572519084	132	10	2	120	308	232	12	3	217	5.3617200084039505	2.2380877742946708	0.8888888888888888	5.822222222222222	100	68	20260905	0.1	0.8
655	100	555	0.15267175572519084	135	11	7	117	314	236	13	14	209	5.454163456824708	2.383500256805341	0.65	4.2575	100	69	20260905	0.1	0.8
655	100	555	0.15267175572519084	132	11	4	117	310	240	12	11	217	5.546606905245466	2.163484848484848	0.6857142857142857	4.491428571428571	100	70	20260905	0.1	0.8
655	100	555	0.15267175572519084	136	13	5	118	315	235	13	6	216	5.431052594719518	2.3936428110896197	0.8125	5.3218749999999995	100	71	20260905	0.1	0.8
655	100	555	0.15267175572519084	139	16	4	119	321	238	16	5	217	5.500385181035087	2.908887191240132	0.8648648648648649	5.664864864864865	100	72	20260905	0.1	0.8
655	100	555	0.15267175572519084	130	7	9	114	307	239	7	13	219	5.523496043140276	1.2673133003676937	0.5185185185185185	3.396296296296296	100	73	20260905	0.1	0.8
655	100	555	0.15267175572519084	132	8	7	117	308	230	8	10	212	5.315498284193571	1.5050329380764165	0.6153846153846154	4.030769230769231	100	74	20260905	0.1	0.8
655	100	555	0.15267175572519084	134	12	4	118	312	236	12	8	216	5.454163456824708	2.2001540832049304	0.75	4.9125	100	75	20260905	0.1	0.8
655	100	555	0.15267175572519084	135	9	7	119	312	228	10	11	207	5.269276559983192	1.8977937267410951	0.6451612903225806	4.225806451612903	100	76	20260905	0.1	0.8
655	100	555	0.15267175572519084	134	11	7	116	314	240	13	10	217	5.546606905245466	2.343775252525252	0.7222222222222222	4.730555555555555	100	77	20260905	0.1	0.8
